fecha,UVA
2017-01-15,17.38
2017-01-16,17.38
2017-01-17,17.41
2017-01-18,17.41
2017-01-19,17.42
2017-01-20,17.43
2017-01-21,17.43
2017-01-22,17.43
2017-01-23,17.43
2017-01-24,17.45
2017-01-25,17.46
2017-01-26,17.47
2017-01-27,17.47
2017-01-28,17.48
2017-01-29,17.48
2017-01-30,17.48
2017-01-31,17.5
2017-02-01,17.51
2017-02-02,17.51
2017-02-03,17.52
2017-02-04,17.53
2017-02-05,17.53
2017-02-06,17.53
2017-02-07,17.55
2017-02-08,17.56
2017-02-09,17.56
2017-02-10,17.57
2017-02-11,17.58
2017-02-12,17.58
2017-02-13,17.58
2017-02-14,17.6
2017-02-15,17.6
2017-02-16,17.61
2017-02-17,17.62
2017-02-18,17.63
2017-02-19,17.63
2017-02-20,17.63
2017-02-21,17.65
2017-02-22,17.66
2017-02-23,17.67
2017-02-24,17.67
2017-02-25,17.68
2017-02-26,17.68
2017-02-27,17.68
2017-02-28,17.68
2017-03-01,17.68
2017-03-02,17.72
2017-03-03,17.73
2017-03-04,17.74
2017-03-05,17.74
2017-03-06,17.74
2017-03-07,17.76
2017-03-08,17.77
2017-03-09,17.78
2017-03-10,17.79
2017-03-11,17.8
2017-03-12,17.8
2017-03-13,17.8
2017-03-14,17.82
2017-03-15,17.83
2017-03-16,17.84
2017-03-17,17.85
2017-03-18,17.87
2017-03-19,17.87
2017-03-20,17.87
2017-03-21,17.91
2017-03-22,17.92
2017-03-23,17.94
2017-03-24,17.95
2017-03-25,17.95
2017-03-26,17.95
2017-03-27,17.95
2017-03-28,18.01
2017-03-29,18.02
2017-03-30,18.04
2017-03-31,18.05
2017-04-01,18.07
2017-04-02,18.07
2017-04-03,18.07
2017-04-04,18.11
2017-04-05,18.13
2017-04-06,18.14
2017-04-07,18.16
2017-04-08,18.17
2017-04-09,18.17
2017-04-10,18.17
2017-04-11,18.22
2017-04-12,18.23
2017-04-13,18.24
2017-04-14,18.24
2017-04-15,18.24
2017-04-16,18.24
2017-04-17,18.24
2017-04-18,18.32
2017-04-19,18.33
2017-04-20,18.35
2017-04-21,18.36
2017-04-22,18.38
2017-04-23,18.38
2017-04-24,18.38
2017-04-25,18.42
2017-04-26,18.43
